site_name,site_id,year,count_type,name_id,penguin_count
Orne Islands,ORNE,2005,nests,chinstrap,350.0
Orne Islands,ORNE,2006,nests,chinstrap,299.5
Orne Islands,ORNE,2007,nests,chinstrap,249.0
Orne Islands,ORNE,2008,nests,chinstrap,299.0
Orne Islands,ORNE,2009,nests,chinstrap,285.0
Orne Islands,ORNE,2010,nests,chinstrap,281.0
Orne Islands,ORNE,2011,nests,chinstrap,295.5
Orne Islands,ORNE,2012,nests,chinstrap,310.0
Orne Islands,ORNE,2013,nests,chinstrap,301.5
Orne Islands,ORNE,2014,nests,chinstrap,293.0
Orne Islands,ORNE,2015,nests,chinstrap,333.0
Orne Islands,ORNE,2016,nests,chinstrap,298.0
