site_name,site_id,year,count_type,name_id,penguin_count
Cape Shirreff,SHIR,1997,chicks,chinstrap,8802.0
Cape Shirreff,SHIR,1998,chicks,chinstrap,7936.0
Cape Shirreff,SHIR,1999,chicks,chinstrap,8774.0
Cape Shirreff,SHIR,2000,chicks,chinstrap,9226.0
Cape Shirreff,SHIR,2001,chicks,chinstrap,9744.0
Cape Shirreff,SHIR,2002,chicks,chinstrap,7432.0
Cape Shirreff,SHIR,2003,chicks,chinstrap,4420.0
Cape Shirreff,SHIR,2004,chicks,chinstrap,5619.0
Cape Shirreff,SHIR,2005,chicks,chinstrap,4323.0
Cape Shirreff,SHIR,2006,chicks,chinstrap,5247.0
Cape Shirreff,SHIR,2007,chicks,chinstrap,5299.0
Cape Shirreff,SHIR,2008,chicks,chinstrap,1135.0
Cape Shirreff,SHIR,2009,chicks,chinstrap,4332.0
Cape Shirreff,SHIR,2010,chicks,chinstrap,3762.0
Cape Shirreff,SHIR,2011,chicks,chinstrap,4303.0
