site_name,site_id,year,count_type,name_id,penguin_count
Uchatka Point,UCHA,1985,nests,chinstrap,1255.0
Uchatka Point,UCHA,1986,nests,chinstrap,1213.5
Uchatka Point,UCHA,1987,nests,chinstrap,1172.0
Uchatka Point,UCHA,1988,nests,chinstrap,1122.5
Uchatka Point,UCHA,1989,nests,chinstrap,1002.0
Uchatka Point,UCHA,1990,nests,chinstrap,952.5
Uchatka Point,UCHA,1991,nests,chinstrap,974.0
Uchatka Point,UCHA,1992,nests,chinstrap,1113.0
Uchatka Point,UCHA,1993,nests,chinstrap,983.0
Uchatka Point,UCHA,1994,nests,chinstrap,871.0
Uchatka Point,UCHA,1995,nests,chinstrap,854.0
Uchatka Point,UCHA,1996,nests,chinstrap,745.0
Uchatka Point,UCHA,1997,nests,chinstrap,716.0
Uchatka Point,UCHA,1998,nests,chinstrap,752.0
Uchatka Point,UCHA,1999,nests,chinstrap,646.0
Uchatka Point,UCHA,2000,nests,chinstrap,690.0
Uchatka Point,UCHA,2001,nests,chinstrap,552.0
Uchatka Point,UCHA,2002,nests,chinstrap,565.0
Uchatka Point,UCHA,2003,nests,chinstrap,486.0
Uchatka Point,UCHA,2004,nests,chinstrap,456.0
Uchatka Point,UCHA,2005,nests,chinstrap,414.0
Uchatka Point,UCHA,2006,nests,chinstrap,395.0
Uchatka Point,UCHA,2007,nests,chinstrap,357.0
Uchatka Point,UCHA,2008,nests,chinstrap,361.0
Uchatka Point,UCHA,2009,nests,chinstrap,273.0
Uchatka Point,UCHA,2010,nests,chinstrap,316.0
Uchatka Point,UCHA,2011,nests,chinstrap,281.0
Uchatka Point,UCHA,2012,nests,chinstrap,298.0
Uchatka Point,UCHA,2013,nests,chinstrap,285.0
Uchatka Point,UCHA,2014,nests,chinstrap,267.5
Uchatka Point,UCHA,2015,nests,chinstrap,250.0
