site_name,site_id,year,count_type,name_id,penguin_count
Brown Bluff,BROW,2001,chicks,gentoo,445.0
Brown Bluff,BROW,2002,chicks,gentoo,333.0
Brown Bluff,BROW,2003,chicks,gentoo,716.0
Brown Bluff,BROW,2004,chicks,gentoo,652.5
Brown Bluff,BROW,2005,chicks,gentoo,589.0
Brown Bluff,BROW,2006,chicks,gentoo,118.0
Brown Bluff,BROW,2007,chicks,gentoo,682.0
Brown Bluff,BROW,2008,chicks,gentoo,736.6666666666666
Brown Bluff,BROW,2009,chicks,gentoo,857.0
Brown Bluff,BROW,2010,chicks,gentoo,480.0
Brown Bluff,BROW,2011,chicks,gentoo,502.0
