site_name,site_id,year,count_type,name_id,penguin_count
Bryde Island East,BRYE,2009,nests,gentoo,528.0
Bryde Island East,BRYE,2010,nests,gentoo,532.5
Bryde Island East,BRYE,2011,nests,gentoo,558.0
Bryde Island East,BRYE,2012,nests,gentoo,223.0
Bryde Island East,BRYE,2013,nests,gentoo,508.5
Bryde Island East,BRYE,2014,nests,gentoo,538.0
Bryde Island East,BRYE,2015,nests,gentoo,626.0
Bryde Island East,BRYE,2016,nests,gentoo,532.6666666666666
Bryde Island East,BRYE,2017,nests,gentoo,518.5
Bryde Island East,BRYE,2018,nests,gentoo,543.8
Bryde Island East,BRYE,2019,nests,gentoo,536.6666666666666
