site_name,site_id,year,count_type,name_id,penguin_count
Port Lockroy,LOCK,1997,chicks,gentoo,920.0
Port Lockroy,LOCK,1998,chicks,gentoo,1015.0
Port Lockroy,LOCK,1999,chicks,gentoo,606.0
Port Lockroy,LOCK,2000,chicks,gentoo,875.0
Port Lockroy,LOCK,2001,chicks,gentoo,1169.0
Port Lockroy,LOCK,2002,chicks,gentoo,111.0
Port Lockroy,LOCK,2003,chicks,gentoo,1163.0
Port Lockroy,LOCK,2004,chicks,gentoo,927.0
Port Lockroy,LOCK,2005,chicks,gentoo,691.0
Port Lockroy,LOCK,2006,chicks,gentoo,866.0
Port Lockroy,LOCK,2007,chicks,gentoo,736.0
Port Lockroy,LOCK,2008,chicks,gentoo,700.5
Port Lockroy,LOCK,2009,chicks,gentoo,665.0
Port Lockroy,LOCK,2010,chicks,gentoo,865.5
Port Lockroy,LOCK,2011,chicks,gentoo,563.0
Port Lockroy,LOCK,2012,chicks,gentoo,707.0
Port Lockroy,LOCK,2013,chicks,gentoo,792.5
Port Lockroy,LOCK,2014,chicks,gentoo,579.5
Port Lockroy,LOCK,2015,chicks,gentoo,617.0
