site_name,site_id,year,count_type,name_id,penguin_count
Cape Shirreff,SHIR,1997,nests,gentoo,767.3333333333334
Cape Shirreff,SHIR,1998,nests,gentoo,830.0
Cape Shirreff,SHIR,1999,nests,gentoo,922.0
Cape Shirreff,SHIR,2000,nests,gentoo,1009.0
Cape Shirreff,SHIR,2001,nests,gentoo,907.0
Cape Shirreff,SHIR,2002,nests,gentoo,750.0
Cape Shirreff,SHIR,2003,nests,gentoo,750.5
Cape Shirreff,SHIR,2004,nests,gentoo,818.0
Cape Shirreff,SHIR,2005,nests,gentoo,807.0
Cape Shirreff,SHIR,2006,nests,gentoo,780.5
Cape Shirreff,SHIR,2007,nests,gentoo,610.0
Cape Shirreff,SHIR,2008,nests,gentoo,879.0
Cape Shirreff,SHIR,2009,nests,gentoo,802.0
Cape Shirreff,SHIR,2010,nests,gentoo,833.5
Cape Shirreff,SHIR,2011,nests,gentoo,829.0
Cape Shirreff,SHIR,2012,nests,gentoo,853.0
Cape Shirreff,SHIR,2013,nests,gentoo,839.0
Cape Shirreff,SHIR,2014,nests,gentoo,721.0
Cape Shirreff,SHIR,2015,nests,gentoo,655.0
Cape Shirreff,SHIR,2016,nests,gentoo,771.0
Cape Shirreff,SHIR,2017,nests,gentoo,705.0
Cape Shirreff,SHIR,2018,nests,gentoo,674.0
Cape Shirreff,SHIR,2019,nests,gentoo,708.0
