site_name,site_id,year,count_type,name_id,penguin_count
Stranger Point,STRA,2001,chicks,gentoo,3466.0
Stranger Point,STRA,2002,chicks,gentoo,2826.0
Stranger Point,STRA,2003,chicks,gentoo,2780.0
Stranger Point,STRA,2004,chicks,gentoo,2977.0
Stranger Point,STRA,2005,chicks,gentoo,3377.0
Stranger Point,STRA,2006,chicks,gentoo,4402.0
Stranger Point,STRA,2007,chicks,gentoo,3563.0
Stranger Point,STRA,2008,chicks,gentoo,3417.0
Stranger Point,STRA,2009,chicks,gentoo,2652.0
Stranger Point,STRA,2010,chicks,gentoo,4035.0
Stranger Point,STRA,2011,chicks,gentoo,3828.0
Stranger Point,STRA,2012,chicks,gentoo,3718.0
Stranger Point,STRA,2013,chicks,gentoo,4570.0
Stranger Point,STRA,2014,chicks,gentoo,3764.0
Stranger Point,STRA,2015,chicks,gentoo,3754.0
Stranger Point,STRA,2016,chicks,gentoo,6201.0
Stranger Point,STRA,2017,chicks,gentoo,4272.0
Stranger Point,STRA,2018,chicks,gentoo,5545.0
