site_name,site_id,year,count_type,name_id,penguin_count
Stranger Point,STRA,2000,nests,gentoo,3083.0
Stranger Point,STRA,2001,nests,gentoo,3223.0
Stranger Point,STRA,2002,nests,gentoo,3778.0
Stranger Point,STRA,2003,nests,gentoo,3780.0
Stranger Point,STRA,2004,nests,gentoo,3782.0
Stranger Point,STRA,2005,nests,gentoo,3585.0
Stranger Point,STRA,2006,nests,gentoo,3815.0
Stranger Point,STRA,2007,nests,gentoo,4068.0
Stranger Point,STRA,2008,nests,gentoo,4321.0
Stranger Point,STRA,2009,nests,gentoo,3192.0
Stranger Point,STRA,2010,nests,gentoo,4613.0
Stranger Point,STRA,2011,nests,gentoo,3934.0
Stranger Point,STRA,2012,nests,gentoo,4105.0
Stranger Point,STRA,2013,nests,gentoo,4991.0
Stranger Point,STRA,2014,nests,gentoo,4864.0
Stranger Point,STRA,2015,nests,gentoo,4413.0
Stranger Point,STRA,2016,nests,gentoo,5148.0
Stranger Point,STRA,2017,nests,gentoo,4419.0
Stranger Point,STRA,2018,nests,gentoo,5383.0
